STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2020
01,001,Alabama,Autauga County,58909
01,003,Alabama,Baldwin County,233244
01,005,Alabama,Barbour County,24975
01,007,Alabama,Bibb County,22176
01,009,Alabama,Blount County,59110
01,011,Alabama,Bullock County,10230
01,013,Alabama,Butler County,19027
01,015,Alabama,Calhoun County,116242
01,017,Alabama,Chambers County,34572
01,019,Alabama,Cherokee County,24981
01,021,Alabama,Chilton County,45060
01,023,Alabama,Choctaw County,12622
01,025,Alabama,Clarke County,22989
01,027,Alabama,Clay County,14210
01,029,Alabama,Cleburne County,15063
01,031,Alabama,Coffee County,53565
01,033,Alabama,Colbert County,57305
01,035,Alabama,Conecuh County,11551
01,037,Alabama,Coosa County,10340
01,039,Alabama,Covington County,37513
01,041,Alabama,Crenshaw County,13171
01,043,Alabama,Cullman County,88142
01,045,Alabama,Dale County,49260
01,047,Alabama,Dallas County,38185
01,049,Alabama,DeKalb County,71673
01,051,Alabama,Elmore County,87871
01,053,Alabama,Escambia County,36687
01,055,Alabama,Etowah County,103437
01,057,Alabama,Fayette County,16329
01,059,Alabama,Franklin County,32076
01,061,Alabama,Geneva County,26703
01,063,Alabama,Greene County,7701
01,065,Alabama,Hale County,14771
01,067,Alabama,Henry County,17171
01,069,Alabama,Houston County,107300
01,071,Alabama,Jackson County,52532
01,073,Alabama,Jefferson County,674727
01,075,Alabama,Lamar County,13954
01,077,Alabama,Lauderdale County,94031
01,079,Alabama,Lawrence County,33075
01,081,Alabama,Lee County,174856
01,083,Alabama,Limestone County,104209
01,085,Alabama,Lowndes County,10284
01,087,Alabama,Macon County,19472
01,089,Alabama,Madison County,390527
01,091,Alabama,Marengo County,19271
01,093,Alabama,Marion County,29175
01,095,Alabama,Marshall County,97706
01,097,Alabama,Mobile County,414409
01,099,Alabama,Monroe County,19704
01,101,Alabama,Montgomery County,228363
01,103,Alabama,Morgan County,123329
01,105,Alabama,Perry County,8456
01,107,Alabama,Pickens County,18962
01,109,Alabama,Pike County,32904
01,111,Alabama,Randolph County,22093
01,113,Alabama,Russell County,59252
01,115,Alabama,St. Clair County,91687
01,117,Alabama,Shelby County,223915
01,119,Alabama,Sumter County,12192
01,121,Alabama,Talladega County,81416
01,123,Alabama,Tallapoosa County,41288
01,125,Alabama,Tuscaloosa County,232651
01,127,Alabama,Walker County,65141
01,129,Alabama,Washington County,15331
01,131,Alabama,Wilcox County,10533
01,133,Alabama,Winston County,23488
02,013,Alaska,Aleutians East Borough,3426
02,016,Alaska,Aleutians West Census Area,5223
02,020,Alaska,Anchorage Municipality,290905
02,050,Alaska,Bethel Census Area,18670
02,060,Alaska,Bristol Bay Borough,830
02,063,Alaska,Chugach Census Area,7082
02,066,Alaska,Copper River Census Area,2614
02,068,Alaska,Denali Borough,1614
02,070,Alaska,Dillingham Census Area,4840
02,090,Alaska,Fairbanks North Star Borough,95349
02,100,Alaska,Haines Borough,2085
02,105,Alaska,Hoonah-Angoon Census Area,2354
02,110,Alaska,Juneau City and Borough,32203
02,122,Alaska,Kenai Peninsula Borough,58941
02,130,Alaska,Ketchikan Gateway Borough,13912
02,150,Alaska,Kodiak Island Borough,13044
02,158,Alaska,Kusilvak Census Area,8369
02,164,Alaska,Lake and Peninsula Borough,1452
02,170,Alaska,Matanuska-Susitna Borough,107522
02,180,Alaska,Nome Census Area,10019
02,185,Alaska,North Slope Borough,11006
02,188,Alaska,Northwest Arctic Borough,7795
02,195,Alaska,Petersburg Borough,3407
02,198,Alaska,Prince of Wales-Hyder Census Area,5745
02,220,Alaska,Sitka City and Borough,8430
02,230,Alaska,Skagway Municipality,1240
02,240,Alaska,Southeast Fairbanks Census Area,6826
02,261,Alaska,Valdez-Cordova Census Area,9243
02,275,Alaska,Wrangell City and Borough,2129
02,282,Alaska,Yakutat City and Borough,682
02,290,Alaska,Yukon-Koyukuk Census Area,5303
04,001,Arizona,Apache County,65917
04,003,Arizona,Cochise County,125533
04,005,Arizona,Coconino County,145190
04,007,Arizona,Gila County,53355
04,009,Arizona,Graham County,38630
04,011,Arizona,Greenlee County,9531
04,012,Arizona,La Paz County,16573
04,013,Arizona,Maricopa County,4445415
04,015,Arizona,Mohave County,214173
04,017,Arizona,Navajo County,106773
04,019,Arizona,Pima County,1045227
04,021,Arizona,Pinal County,430213
04,023,Arizona,Santa Cruz County,47712
04,025,Arizona,Yavapai County,237228
04,027,Arizona,Yuma County,205665
05,001,Arkansas,Arkansas County,17104
05,003,Arkansas,Ashley County,18963
05,005,Arkansas,Baxter County,41696
05,007,Arkansas,Benton County,286621
05,009,Arkansas,Boone County,37393
05,011,Arkansas,Bradley County,10492
05,013,Arkansas,Calhoun County,4736
05,015,Arkansas,Carroll County,28241
05,017,Arkansas,Chicot County,10159
05,019,Arkansas,Clark County,21403
05,021,Arkansas,Clay County,14534
05,023,Arkansas,Cleburne County,24716
05,025,Arkansas,Cleveland County,7554
05,027,Arkansas,Columbia County,22743
05,029,Arkansas,Conway County,20734
05,031,Arkansas,Craighead County,111623
05,033,Arkansas,Crawford County,60160
05,035,Arkansas,Crittenden County,48090
05,037,Arkansas,Cross County,16801
05,039,Arkansas,Dallas County,6441
05,041,Arkansas,Desha County,11321
05,043,Arkansas,Drew County,17315
05,045,Arkansas,Faulkner County,123820
05,047,Arkansas,Franklin County,17141
05,049,Arkansas,Fulton County,12051
05,051,Arkansas,Garland County,100266
05,053,Arkansas,Grant County,18019
05,055,Arkansas,Greene County,45861
05,057,Arkansas,Hempstead County,19986
05,059,Arkansas,Hot Spring County,33076
05,061,Arkansas,Howard County,12758
05,063,Arkansas,Independence County,37945
05,065,Arkansas,Izard County,13604
05,067,Arkansas,Jackson County,16759
05,069,Arkansas,Jefferson County,66835
05,071,Arkansas,Johnson County,25727
05,073,Arkansas,Lafayette County,6295
05,075,Arkansas,Lawrence County,16216
05,077,Arkansas,Lee County,8530
05,079,Arkansas,Lincoln County,12890
05,081,Arkansas,Little River County,11971
05,083,Arkansas,Logan County,21109
05,085,Arkansas,Lonoke County,74072
05,087,Arkansas,Madison County,16560
05,089,Arkansas,Marion County,16867
05,091,Arkansas,Miller County,42586
05,093,Arkansas,Mississippi County,40545
05,095,Arkansas,Monroe County,6771
05,097,Arkansas,Montgomery County,8484
05,099,Arkansas,Nevada County,8287
05,101,Arkansas,Newton County,7196
05,103,Arkansas,Ouachita County,22617
05,105,Arkansas,Perry County,10003
05,107,Arkansas,Phillips County,16441
05,109,Arkansas,Pike County,10156
05,111,Arkansas,Poinsett County,22955
05,113,Arkansas,Polk County,19186
05,115,Arkansas,Pope County,63407
05,117,Arkansas,Prairie County,8247
05,119,Arkansas,Pulaski County,399286
05,121,Arkansas,Randolph County,18595
05,123,Arkansas,St. Francis County,23019
05,125,Arkansas,Saline County,123820
05,127,Arkansas,Scott County,9829
05,129,Arkansas,Searcy County,7844
05,131,Arkansas,Sebastian County,127813
05,133,Arkansas,Sevier County,15782
05,135,Arkansas,Sharp County,17315
05,137,Arkansas,Stone County,12347
05,139,Arkansas,Union County,38940
05,141,Arkansas,Van Buren County,15797
05,143,Arkansas,Washington County,246779
05,145,Arkansas,White County,76863
05,147,Arkansas,Woodruff County,6221
05,149,Arkansas,Yell County,20217
06,001,California,Alameda County,1680614
06,003,California,Alpine County,1179
06,005,California,Amador County,40584
06,007,California,Butte County,210222
06,009,California,Calaveras County,45350
06,011,California,Colusa County,21868
06,013,California,Contra Costa County,1166165
06,015,California,Del Norte County,27616
06,017,California,El Dorado County,191250
06,019,California,Fresno County,1009613
06,021,California,Glenn County,28889
06,023,California,Humboldt County,136324
06,025,California,Imperial County,179730
06,027,California,Inyo County,18999
06,029,California,Kern County,906124
06,031,California,Kings County,152797
06,033,California,Lake County,68200
06,035,California,Lassen County,32319
06,037,California,Los Angeles County,9996634
06,039,California,Madera County,156434
06,041,California,Marin County,261341
06,043,California,Mariposa County,17133
06,045,California,Mendocino County,91362
06,047,California,Merced County,282963
06,049,California,Modoc County,8677
06,051,California,Mono County,13225
06,053,California,Monterey County,440506
06,055,California,Napa County,137465
06,057,California,Nevada County,102267
06,059,California,Orange County,3186261
06,061,California,Placer County,405951
06,063,California,Plumas County,19761
06,065,California,Riverside County,2424663
06,067,California,Sacramento County,1586727
06,069,California,San Benito County,64533
06,071,California,San Bernardino County,2183526
06,073,California,San Diego County,3301182
06,075,California,San Francisco County,874826
06,077,California,San Joaquin County,780676
06,079,California,San Luis Obispo County,281924
06,081,California,San Mateo County,762727
06,083,California,Santa Barbara County,448083
06,085,California,Santa Clara County,1924802
06,087,California,Santa Cruz County,271768
06,089,California,Shasta County,182190
06,091,California,Sierra County,3229
06,093,California,Siskiyou County,43999
06,095,California,Solano County,452887
06,097,California,Sonoma County,488501
06,099,California,Stanislaus County,553710
06,101,California,Sutter County,99479
06,103,California,Tehama County,65690
06,105,California,Trinity County,16095
06,107,California,Tulare County,473944
06,109,California,Tuolumne County,55397
06,111,California,Ventura County,843808
06,113,California,Yolo County,217768
06,115,California,Yuba County,82001
08,001,Colorado,Adams County,520517
08,003,Colorado,Alamosa County,16375
08,005,Colorado,Arapahoe County,655312
08,007,Colorado,Archuleta County,13425
08,009,Colorado,Baca County,3482
08,011,Colorado,Bent County,5480
08,013,Colorado,Boulder County,330953
08,014,Colorado,Broomfield County,74494
08,015,Colorado,Chaffee County,19488
08,017,Colorado,Cheyenne County,1746
08,019,Colorado,Clear Creek County,9360
08,021,Colorado,Conejos County,7451
08,023,Colorado,Costilla County,3501
08,025,Colorado,Crowley County,5685
08,027,Colorado,Custer County,4725
08,029,Colorado,Delta County,31056
08,031,Colorado,Denver County,717620
08,033,Colorado,Dolores County,2331
08,035,Colorado,Douglas County,360327
08,037,Colorado,Eagle County,55663
08,039,Colorado,Elbert County,26207
08,041,Colorado,El Paso County,733804
08,043,Colorado,Fremont County,48889
08,045,Colorado,Garfield County,61803
08,047,Colorado,Gilpin County,5817
08,049,Colorado,Grand County,15747
08,051,Colorado,Gunnison County,16946
08,053,Colorado,Hinsdale County,787
08,055,Colorado,Huerfano County,6824
08,057,Colorado,Jackson County,1378
08,059,Colorado,Jefferson County,583169
08,061,Colorado,Kiowa County,1452
08,063,Colorado,Kit Carson County,7063
08,065,Colorado,Lake County,7413
08,067,Colorado,La Plata County,55676
08,069,Colorado,Larimer County,359932
08,071,Colorado,Las Animas County,14500
08,073,Colorado,Lincoln County,5661
08,075,Colorado,Logan County,21209
08,077,Colorado,Mesa County,156011
08,079,Colorado,Mineral County,871
08,081,Colorado,Moffat County,13269
08,083,Colorado,Montezuma County,25889
08,085,Colorado,Montrose County,42820
08,087,Colorado,Morgan County,29082
08,089,Colorado,Otero County,18664
08,091,Colorado,Ouray County,4882
08,093,Colorado,Park County,17420
08,095,Colorado,Phillips County,4531
08,097,Colorado,Pitkin County,17365
08,099,Colorado,Prowers County,12020
08,101,Colorado,Pueblo County,168352
08,103,Colorado,Rio Blanco County,6521
08,105,Colorado,Rio Grande County,11543
08,107,Colorado,Routt County,24840
08,109,Colorado,Saguache County,6395
08,111,Colorado,San Juan County,708
