CSA,CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024
101,,,,"Abilene-Sweetwater, TX",Combined Statistical Area,191352,191655,192536,194532,197119,198460,303,881,1996,2587,1341,550,2343,2435,2386,2154,489,2605,2421,2110,2090,61,-262,14,276,64,3,164,819,1015,1187,183,912,1192,1294,88,186,1076,2011,2309,1275,56,67,-29,2,2
101,10180,,,"Abilene, TX",Metropolitan Statistical Area,176611,176926,177918,180072,182838,184278,315,992,2154,2766,1440,500,2145,2264,2218,1995,434,2377,2195,1912,1901,66,-232,69,306,94,3,144,780,1008,1178,195,1017,1331,1449,169,198,1161,2111,2457,1347,51,63,-26,3,-1
101,10180,,48059,"Callahan County, TX",County or equivalent,13710,13753,14106,14275,14455,14615,43,353,169,180,160,27,129,142,150,139,49,234,217,170,173,-22,-105,-75,-20,-34,0,0,6,5,8,71,477,238,197,189,71,477,244,202,197,-6,-19,0,-2,-3
101,10180,,48253,"Jones County, TX",County or equivalent,19663,19680,19903,20316,20765,20850,17,223,413,449,85,40,148,157,159,136,55,289,235,212,214,-15,-141,-78,-53,-78,0,4,10,7,8,26,369,454,482,155,26,373,464,489,163,6,-9,27,13,0
101,10180,,48441,"Taylor County, TX",County or equivalent,143238,143493,143909,145481,147618,148813,255,416,1572,2137,1195,433,1868,1965,1909,1720,330,1854,1743,1530,1514,103,14,222,379,206,3,140,764,996,1162,98,171,639,770,-175,101,311,1403,1766,987,51,91,-53,-8,2
101,45020,,,"Sweetwater, TX",Micropolitan Statistical Area,14741,14729,14618,14460,14281,14182,-12,-111,-158,-179,-99,50,198,171,168,159,55,228,226,198,189,-5,-30,-55,-30,-30,0,20,39,7,9,-12,-105,-139,-155,-81,-12,-85,-100,-148,-72,5,4,-3,-1,3
101,45020,,48353,"Nolan County, TX",County or equivalent,14741,14729,14618,14460,14281,14182,-12,-111,-158,-179,-99,50,198,171,168,159,55,228,226,198,189,-5,-30,-55,-30,-30,0,20,39,7,9,-12,-105,-139,-155,-81,-12,-85,-100,-148,-72,5,4,-3,-1,3
104,,,,"Albany-Schenectady, NY",Combined Statistical Area,1190717,1190509,1196380,1193294,1195212,1200632,-208,5871,-3086,1918,5420,2798,10890,11013,10899,10931,3253,13021,13413,12493,12266,-455,-2131,-2400,-1594,-1335,19,897,3182,5064,6120,382,6655,-3288,-1327,636,401,7552,-106,3737,6756,-154,450,-580,-225,-1
104,10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,899246,899778,905557,904216,907223,913485,532,5779,-1341,3007,6262,2168,8397,8355,8264,8283,2326,9229,9513,8860,8681,-158,-832,-1158,-596,-398,19,844,2972,4613,5572,827,5442,-2717,-815,1080,846,6286,255,3798,6652,-156,325,-438,-195,8
104,10580,,36001,"Albany County, NY",County or equivalent,314838,314024,316817,316287,318000,319964,-814,2793,-530,1713,1964,765,2813,2778,2719,2726,863,3193,3126,2940,2867,-98,-380,-348,-221,-141,18,479,1676,2560,3095,-712,2659,-1748,-561,-990,-694,3138,-72,1999,2105,-22,35,-110,-65,0
104,10580,,36083,"Rensselaer County, NY",County or equivalent,161130,160888,160645,159530,159846,160749,-242,-243,-1115,316,903,398,1527,1465,1499,1502,416,1690,1853,1672,1620,-18,-163,-388,-173,-118,0,129,487,817,994,-247,-345,-1160,-290,21,-247,-216,-673,527,1015,23,136,-54,-38,6
104,10580,,36091,"Saratoga County, NY",County or equivalent,235507,235811,237885,238491,238873,240360,304,2074,606,382,1487,509,2024,2070,2050,2056,512,2199,2366,2204,2192,-3,-175,-296,-154,-136,0,101,346,521,636,230,2070,730,65,983,230,2171,1076,586,1619,77,78,-174,-50,4
104,10580,,36093,"Schenectady County, NY",County or equivalent,158045,159294,160066,159846,160378,162261,1249,772,-220,532,1883,440,1771,1813,1749,1752,475,1784,1810,1695,1662,-35,-13,3,54,90,1,134,452,696,824,1524,567,-589,-180,970,1525,701,-137,516,1794,-241,84,-86,-38,-1
104,10580,,36095,"Schoharie County, NY",County or equivalent,29726,29761,30144,30062,30126,30151,35,383,-82,64,25,56,262,229,247,247,60,363,358,349,340,-4,-101,-129,-102,-93,0,1,11,19,23,32,491,50,151,96,32,492,61,170,119,7,-8,-14,-4,-1
104,11220,,,"Amsterdam, NY",Micropolitan Statistical Area,49528,49487,49490,49434,49580,49648,-41,3,-56,146,68,155,592,625,635,636,141,739,678,645,667,14,-147,-53,-10,-31,0,9,41,51,63,-61,115,-11,119,37,-61,124,30,170,100,6,26,-33,-14,-1
104,11220,,36057,"Montgomery County, NY",County or equivalent,49528,49487,49490,49434,49580,49648,-41,3,-56,146,68,155,592,625,635,636,141,739,678,645,667,14,-147,-53,-10,-31,0,9,41,51,63,-61,115,-11,119,37,-61,124,30,170,100,6,26,-33,-14,-1
104,24020,,,"Glens Falls, NY",Metropolitan Statistical Area,127035,126714,126605,126212,125540,125127,-321,-109,-393,-672,-413,247,1029,1091,1067,1071,386,1590,1691,1529,1480,-139,-561,-600,-462,-409,0,15,68,214,263,-183,355,229,-418,-262,-183,370,297,-204,1,1,82,-90,-6,-5
104,24020,,36113,"Warren County, NY",County or equivalent,65733,65608,65734,65448,65508,65288,-125,126,-286,60,-220,106,507,534,537,541,203,812,869,754,746,-97,-305,-335,-217,-205,0,10,33,68,88,-40,392,64,227,-101,-40,402,97,295,-13,12,29,-48,-18,-2
104,24020,,36115,"Washington County, NY",County or equivalent,61302,61106,60871,60764,60032,59839,-196,-235,-107,-732,-193,141,522,557,530,530,183,778,822,775,734,-42,-256,-265,-245,-204,0,5,35,146,175,-143,-37,165,-645,-161,-143,-32,200,-499,14,-11,53,-42,12,-3
104,24100,,,"Gloversville, NY",Micropolitan Statistical Area,53337,53111,52751,52245,52253,52073,-226,-360,-506,8,-180,113,440,479,483,484,183,740,807,728,687,-70,-300,-328,-245,-203,0,6,20,33,40,-143,-96,-178,225,-19,-143,-90,-158,258,21,-13,30,-20,-5,2
104,24100,,36035,"Fulton County, NY",County or equivalent,53337,53111,52751,52245,52253,52073,-226,-360,-506,8,-180,113,440,479,483,484,183,740,807,728,687,-70,-300,-328,-245,-203,0,6,20,33,40,-143,-96,-178,225,-19,-143,-90,-158,258,21,-13,30,-20,-5,2
104,26460,,,"Hudson, NY",Micropolitan Statistical Area,61571,61419,61977,61187,60616,60299,-152,558,-790,-571,-317,115,432,463,450,457,217,723,724,731,751,-102,-291,-261,-281,-294,0,23,81,153,182,-58,839,-611,-438,-200,-58,862,-530,-285,-18,8,-13,1,-5,-5
104,26460,,36021,"Columbia County, NY",County or equivalent,61571,61419,61977,61187,60616,60299,-152,558,-790,-571,-317,115,432,463,450,457,217,723,724,731,751,-102,-291,-261,-281,-294,0,23,81,153,182,-58,839,-611,-438,-200,-58,862,-530,-285,-18,8,-13,1,-5,-5
105,,,,"Albuquerque-Santa Fe-Los Alamos, NM",Combined Statistical Area,1162657,1163813,1166079,1166254,1170083,1174222,1156,2266,175,3829,4139,2594,10701,10583,10728,10768,2830,12644,13310,11962,11830,-236,-1943,-2727,-1234,-1062,97,1344,3697,5095,6245,1076,2243,-320,141,-1019,1173,3587,3377,5236,5226,219,622,-475,-173,-25
