STNAME,CTYNAME,POPESTIMATE2020,GEOID,MEDIAN_HOUSEHOLD_INCOME,CENTROID
Alabama,Autauga County,58909,1001,70148,POINT (872571.7738869283 1094820.342819801)
Alabama,Baldwin County,233244,1003,71704,POINT (789774.5449610543 884752.4533927367)
Alabama,Barbour County,24975,1005,41151,POINT (997560.6620349796 1032855.7111529862)
Alabama,Bibb County,22176,1007,54309,POINT (823040.2794122654 1141353.9164050485)
Alabama,Blount County,59110,1009,60553,POINT (863581.4561317359 1255784.589083532)
Alabama,Bullock County,10230,1011,35798,POINT (964355.2094013244 1055214.2510815104)
Alabama,Butler County,19027,1013,41852,POINT (877709.9336743682 1007334.500762152)
Alabama,Calhoun County,116242,1015,52772,POINT (933955.779482136 1239747.6802015682)
Alabama,Chambers County,34572,1017,45563,POINT (984305.3440243813 1148653.7120497136)
Alabama,Cherokee County,24981,1019,52613,POINT (948959.5525275816 1286809.2944397049)
Alabama,Chilton County,45060,1021,61823,POINT (862324.0640540505 1128754.3939254428)
Alabama,Choctaw County,12622,1023,44458,POINT (726343.5249478674 1023826.363457754)
Alabama,Clarke County,22989,1025,44906,POINT (769913.114483835 989536.3215515154)
Alabama,Clay County,14210,1027,49599,POINT (936836.82710601 1183449.400767313)
Alabama,Cleburne County,15063,1029,49248,POINT (962963.6480553946 1232002.9174948896)
Alabama,Coffee County,53565,1031,62429,POINT (946751.551561109 974804.4882903988)
Alabama,Colbert County,57305,1033,54593,POINT (744079.1390030112 1325216.6111037435)
Alabama,Conecuh County,11551,1035,36106,POINT (851716.7327411224 969160.133389441)
Alabama,Coosa County,10340,1037,49485,POINT (904748.7614977346 1142716.242838591)
Alabama,Covington County,37513,1039,46958,POINT (904954.5369452414 953525.9684663035)
Alabama,Crenshaw County,13171,1041,49161,POINT (912208.6205327156 1008139.670163696)
Alabama,Cullman County,88142,1043,61774,POINT (834568.7767842129 1269660.4751859987)
Alabama,Dale County,49260,1045,50567,POINT (981990.1954679308 982106.1437772408)
Alabama,Dallas County,38185,1047,35258,POINT (831624.3836614292 1067138.6475760916)
Alabama,DeKalb County,71673,1049,50037,POINT (927237.2076680674 1316102.7346942162)
Alabama,Elmore County,87871,1051,71463,POINT (918308.3481732698 1106094.9147182377)
Alabama,Escambia County,36687,1053,47792,POINT (839256.455717202 933553.3312912486)
Alabama,Etowah County,103437,1055,55487,POINT (911072.925165705 1267642.033514648)
Alabama,Fayette County,16329,1057,49205,POINT (759251.4161340786 1216794.2838156486)
Alabama,Franklin County,32076,1059,49611,POINT (742801.3730314045 1296358.2784707204)
Alabama,Geneva County,26703,1061,51585,POINT (964815.5767174544 942574.7647649604)
Alabama,Greene County,7701,1063,35449,POINT (747454.9602302456 1118792.4165967817)
Alabama,Hale County,14771,1065,44702,POINT (778391.8834936266 1110832.6149872325)
Alabama,Henry County,17171,1067,56702,POINT (1015631.3288438471 994913.5681756324)
